DATE,DRUG,COUNT,OUTCOME,PRR,ROR
20130101,1550023,0.0,36314160,0E-10,0E-10
20130210,1550023,0.0,36314160,0E-10,0E-10
20130310,1550023,0.0,36314160,0E-10,0E-10
20130401,1550023,0.0,36314160,0E-10,0E-10
20130501,1550023,0.0,36314160,0E-10,0E-10
20130601,1550023,0.0,36314160,0E-10,0E-10
20130701,1550023,0.0,36314160,0E-10,0E-10
20130801,1550023,1.0,36314160,37.9356514788,39.7824340528
20130901,1550023,1.0,36314160,37.0954391022,38.8142695357
20131001,1550023,2.0,36314160,47.2422152560,50.0447737564
20131101,1550023,3.0,36314160,68.5317217409,74.4904030710
20131201,1550023,3.0,36314160,62.7440252417,68.0363702624
20140101,1550023,3.0,36314160,60.5268689711,65.3533718606
20140210,1550023,3.0,36314160,57.2385837542,61.3536020777
20140310,1550023,3.0,36314160,58.3618743066,62.5590846217
20140401,1550023,3.0,36314160,59.1324434992,63.3860369260
20140501,1550023,3.0,36314160,57.1963091658,61.1169818983
20140601,1550023,3.0,36314160,51.6837990518,55.2198780554
20140701,1550023,3.0,36314160,47.1618720481,50.0469890511
20140801,1550023,6.0,36314160,54.2167839740,58.0179828293
20140901,1550023,33.0,36314160,130.3612028454,154.8952240747
20141001,1550023,96.0,36314160,175.5728344153,224.4328697035
20141101,1550023,136.0,36314160,174.5968640396,222.4856541195
20141201,1550023,179.0,36314160,187.4617889922,243.4628967600
20150101,1550023,214.0,36314160,177.5204053437,231.1785967407
20150210,1550023,264.0,36314160,177.7724954389,232.2274998682
20150310,1550023,323.0,36314160,185.3635824493,244.2651028559
20150401,1550023,347.0,36314160,185.6670283123,244.7264373670
20150501,1550023,395.0,36314160,183.3019948058,241.7036881945
20150601,1550023,437.0,36314160,180.2745526151,237.9645227866
20150701,1550023,473.0,36314160,168.0601524790,221.9983450541
20150801,1550023,511.0,36314160,168.6905719069,223.1314119606
20150901,1550023,563.0,36314160,157.6733773890,209.7744473654
20151001,1550023,3226.0,36314160,161.4202320014,233.0189686418
20151101,1550023,3257.0,36314160,162.7859166266,234.6050157751
20151201,1550023,3296.0,36314160,164.7770324787,237.4492321354
20160101,1550023,3314.0,36314160,163.6287916294,235.4315914508
20160210,1550023,3362.0,36314160,167.0720466079,239.8381381883
20160310,1550023,3391.0,36314160,166.5887924233,238.2467295222
20160401,1550023,3419.0,36314160,164.3694154584,234.8679679577
20160501,1550023,3442.0,36314160,162.5641299552,231.7570794769
20160601,1550023,3458.0,36314160,160.8449802763,228.4671899405
20160701,1550023,3466.0,36314160,159.2753900608,225.7621797773
20160801,1550023,3470.0,36314160,157.8903910546,223.3242440545
20160901,1550023,3481.0,36314160,158.4837165613,223.7923676632
20161001,1550023,3492.0,36314160,157.8344239754,222.6853190046
20161101,1550023,3494.0,36314160,156.9735094999,220.9372937948
20161201,1550023,3506.0,36314160,156.4833909722,220.0325596303
20170101,1550023,3515.0,36314160,157.4443289701,221.1346018830
20170210,1550023,3527.0,36314160,157.6865190369,221.0546365283
20170310,1550023,3532.0,36314160,157.8265758277,220.8641843202
20170401,1550023,3539.0,36314160,158.3748692999,221.4638659529
20170501,1550023,3550.0,36314160,157.4500590506,219.7702688385
20170601,1550023,3562.0,36314160,157.0944110461,219.0175976088
20170701,1550023,3573.0,36314160,157.3044941612,219.0077266923
20170801,1550023,3580.0,36314160,157.4331582424,218.7862154847
20170901,1550023,3583.0,36314160,157.7229573804,218.6603807439
20171001,1550023,3594.0,36314160,158.3628203535,219.2348445006
20171101,1550023,3600.0,36314160,158.7476855042,219.3551207033
20171201,1550023,3608.0,36314160,158.4758697140,218.7211181423
20180101,1550023,3613.0,36314160,158.9771058818,219.1342816355
20180210,1550023,3613.0,36314160,158.9771058818,219.1342816355
20180310,1550023,3613.0,36314160,158.9771058818,219.1342816355
20180401,1550023,3613.0,36314160,158.9771058818,219.1342816355
20180501,1550023,3613.0,36314160,158.9771058818,219.1342816355
20180601,1550023,3613.0,36314160,158.9771058818,219.1342816355
20180701,1550023,3613.0,36314160,158.9771058818,219.1342816355
20180801,1550023,3613.0,36314160,158.9771058818,219.1342816355
20180901,1550023,3613.0,36314160,158.9771058818,219.1342816355
20181001,1550023,3613.0,36314160,158.9771058818,219.1342816355
20181101,1550023,3613.0,36314160,158.9771058818,219.1342816355
20181201,1550023,3613.0,36314160,158.9771058818,219.1342816355
